año,mes,precio
1994,ENERO,0.45
1994,FEBRERO,0.45
1994,MARZO,0.45
1994,ABRIL,0.45
1994,MAYO,0.45
1994,JUNIO,0.45
1994,JULIO,0.45
1994,AGOSTO,0.45
1994,SEPTIEMBRE,0.45
1994,OCTUBRE,0.45
1994,NOVIEMBRE,0.45
1994,DICIEMBRE,0.45
1995,ENERO,0.45
1995,FEBRERO,0.45
1995,MARZO,0.45
1995,ABRIL,0.45
1995,MAYO,0.45
1995,JUNIO,0.45
1995,JULIO,0.45
1995,AGOSTO,0.45
1995,SEPTIEMBRE,0.45
1995,OCTUBRE,0.45
1995,NOVIEMBRE,0.45
1995,DICIEMBRE,0.45
1996,ENERO,0.45
1996,FEBRERO,0.45
1996,MARZO,0.45
1996,ABRIL,0.45
1996,MAYO,0.45
1996,JUNIO,0.45
1996,JULIO,0.45
1996,AGOSTO,0.45
1996,SEPTIEMBRE,0.45
1996,OCTUBRE,0.5
1996,NOVIEMBRE,0.5
1996,DICIEMBRE,0.5
1997,ENERO,0.5
1997,FEBRERO,0.5
1997,MARZO,0.5
1997,ABRIL,0.5
1997,MAYO,0.5
1997,JUNIO,0.5
1997,JULIO,0.5
1997,AGOSTO,0.5
1997,SEPTIEMBRE,0.5
1997,OCTUBRE,0.5
1997,NOVIEMBRE,0.5
1997,DICIEMBRE,0.5
1998,ENERO,0.5
1998,FEBRERO,0.5
1998,MARZO,0.5
1998,ABRIL,0.5
1998,MAYO,0.5
1998,JUNIO,0.5
1998,JULIO,0.5
1998,AGOSTO,0.5
1998,SEPTIEMBRE,0.5
1998,OCTUBRE,0.5
1998,NOVIEMBRE,0.5
1998,DICIEMBRE,0.5
1999,ENERO,0.5
1999,FEBRERO,0.5
1999,MARZO,0.5
1999,ABRIL,0.5
1999,MAYO,0.6
1999,JUNIO,0.6
1999,JULIO,0.6
1999,AGOSTO,0.6
1999,SEPTIEMBRE,0.6
1999,OCTUBRE,0.6
1999,NOVIEMBRE,0.6
1999,DICIEMBRE,0.6
2000,ENERO,0.6
2000,FEBRERO,0.6
2000,MARZO,0.6
2000,ABRIL,0.6
2000,MAYO,0.6
2000,JUNIO,0.6
2000,JULIO,0.6
2000,AGOSTO,0.6
2000,SEPTIEMBRE,0.6
2000,OCTUBRE,0.6
2000,NOVIEMBRE,0.6
2000,DICIEMBRE,0.6
2001,ENERO,0.6
2001,FEBRERO,0.6
2001,MARZO,0.7
2001,ABRIL,0.7
2001,MAYO,0.7
2001,JUNIO,0.7
2001,JULIO,0.7
2001,AGOSTO,0.7
2001,SEPTIEMBRE,0.7
2001,OCTUBRE,0.7
2001,NOVIEMBRE,0.7
2001,DICIEMBRE,0.7
2002,ENERO,0.7
2002,FEBRERO,0.7
2002,MARZO,0.7
2002,ABRIL,0.7
2002,MAYO,0.7
2002,JUNIO,0.7
2002,JULIO,0.7
2002,AGOSTO,0.7
2002,SEPTIEMBRE,0.7
2002,OCTUBRE,0.7
2002,NOVIEMBRE,0.7
2002,DICIEMBRE,0.7
2003,ENERO,0.7
2003,FEBRERO,0.7
2003,MARZO,0.7
2003,ABRIL,0.7
2003,MAYO,0.7
2003,JUNIO,0.7
2003,JULIO,0.7
2003,AGOSTO,0.7
2003,SEPTIEMBRE,0.7
2003,OCTUBRE,0.7
2003,NOVIEMBRE,0.7
2003,DICIEMBRE,0.7
2004,ENERO,0.7
2004,FEBRERO,0.7
2004,MARZO,0.7
2004,ABRIL,0.7
2004,MAYO,0.7
2004,JUNIO,0.7
2004,JULIO,0.7
2004,AGOSTO,0.7
2004,SEPTIEMBRE,0.7
2004,OCTUBRE,0.7
2004,NOVIEMBRE,0.7
2004,DICIEMBRE,0.7
2005,ENERO,0.7
2005,FEBRERO,0.7
2005,MARZO,0.7
2005,ABRIL,0.7
2005,MAYO,0.7
2005,JUNIO,0.7
2005,JULIO,0.7
2005,AGOSTO,0.7
2005,SEPTIEMBRE,0.7
2005,OCTUBRE,0.7
2005,NOVIEMBRE,0.7
2005,DICIEMBRE,0.7
2006,ENERO,0.7
2006,FEBRERO,0.7
2006,MARZO,0.7
2006,ABRIL,0.7
2006,MAYO,0.7
2006,JUNIO,0.7
2006,JULIO,0.7
2006,AGOSTO,0.7
2006,SEPTIEMBRE,0.7
2006,OCTUBRE,0.7
2006,NOVIEMBRE,0.7
2006,DICIEMBRE,0.7
2007,ENERO,0.7
2007,FEBRERO,0.7
2007,MARZO,0.7
2007,ABRIL,0.7
2007,MAYO,0.7
2007,JUNIO,0.7
2007,JULIO,0.7
2007,AGOSTO,0.7
2007,SEPTIEMBRE,0.7
2007,OCTUBRE,0.7
2007,NOVIEMBRE,0.7
2007,DICIEMBRE,0.7
2008,ENERO,0.9
2008,FEBRERO,0.9
2008,MARZO,0.9
2008,ABRIL,0.9
2008,MAYO,0.9
2008,JUNIO,0.9
2008,JULIO,0.9
2008,AGOSTO,0.9
2008,SEPTIEMBRE,0.9
2008,OCTUBRE,0.9
2008,NOVIEMBRE,0.9
2008,DICIEMBRE,0.9
2009,ENERO,1.1
2009,FEBRERO,1.1
2009,MARZO,1.1
2009,ABRIL,1.1
2009,MAYO,1.1
2009,JUNIO,1.1
2009,JULIO,1.1
2009,AGOSTO,1.1
2009,SEPTIEMBRE,1.1
2009,OCTUBRE,1.1
2009,NOVIEMBRE,1.1
2009,DICIEMBRE,1.1
2010,ENERO,1.1
2010,FEBRERO,1.1
2010,MARZO,1.1
2010,ABRIL,1.1
2010,MAYO,1.1
2010,JUNIO,1.1
2010,JULIO,1.1
2010,AGOSTO,1.1
2010,SEPTIEMBRE,1.1
2010,OCTUBRE,1.1
2010,NOVIEMBRE,1.1
2010,DICIEMBRE,1.1
2011,ENERO,1.1
2011,FEBRERO,1.1
2011,MARZO,1.1
2011,ABRIL,1.1
2011,MAYO,1.1
2011,JUNIO,1.1
2011,JULIO,1.1
2011,AGOSTO,1.1
2011,SEPTIEMBRE,1.1
2011,OCTUBRE,1.1
2011,NOVIEMBRE,1.1
2011,DICIEMBRE,1.1
2012,ENERO,2.5
2012,FEBRERO,2.5
2012,MARZO,2.5
2012,ABRIL,2.5
2012,MAYO,2.5
2012,JUNIO,2.5
2012,JULIO,2.5
2012,AGOSTO,2.5
2012,SEPTIEMBRE,2.5
2012,OCTUBRE,2.5
2012,NOVIEMBRE,2.5
2012,DICIEMBRE,2.5
2013,ENERO,2.5
2013,FEBRERO,2.5
2013,MARZO,2.5
2013,ABRIL,2.5
2013,MAYO,2.5
2013,JUNIO,2.5
2013,JULIO,2.5
2013,AGOSTO,2.5
2013,SEPTIEMBRE,2.5
2013,OCTUBRE,2.5
2013,NOVIEMBRE,3.5
2013,DICIEMBRE,3.5
2014,ENERO,3.5
2014,FEBRERO,3.5
2014,MARZO,4.5
2014,ABRIL,4.5
2014,MAYO,4.5
2014,JUNIO,4.5
2014,JULIO,4.5
2014,AGOSTO,4.5
2014,SEPTIEMBRE,4.5
2014,OCTUBRE,4.5
2014,NOVIEMBRE,4.5
2014,DICIEMBRE,4.5
2015,ENERO,4.5
2015,FEBRERO,4.5
2015,MARZO,4.5
2015,ABRIL,4.5
2015,MAYO,4.5
2015,JUNIO,4.5
2015,JULIO,4.5
2015,AGOSTO,4.5
2015,SEPTIEMBRE,4.5
2015,OCTUBRE,4.5
2015,NOVIEMBRE,4.5
2015,DICIEMBRE,4.5
2016,ENERO,4.5
2016,FEBRERO,4.5
2016,MARZO,4.5
2016,ABRIL,4.5
2016,MAYO,4.5
2016,JUNIO,4.5
2016,JULIO,4.5
2016,AGOSTO,4.5
2016,SEPTIEMBRE,4.5
2016,OCTUBRE,4.5
2016,NOVIEMBRE,7.5
2016,DICIEMBRE,7.5
2017,ENERO,7.5
2017,FEBRERO,7.5
2017,MARZO,7.5
2017,ABRIL,7.5
2017,MAYO,7.5
2017,JUNIO,7.5
2017,JULIO,7.5
2017,AGOSTO,7.5
2017,SEPTIEMBRE,7.5
2017,OCTUBRE,7.5
2017,NOVIEMBRE,7.5
2017,DICIEMBRE,7.5
2018,ENERO,7.5
2018,FEBRERO,7.5
2018,MARZO,7.5
2018,ABRIL,7.5
2018,MAYO,7.5
2018,JUNIO,7.5
2018,JULIO,7.5
2018,AGOSTO,12.5
2018,SEPTIEMBRE,12.5
