latitude,longitude,name,label
-34.58445976646252,-58.375773928540035,Rodolfo Walsh y Carlos H. Perette,Estación Saludable Barrio 31
-34.598602794238374,-58.39747190262411,Paraguay 2102-2150,Estación Saludable Campus Plaza Houssay
-34.60390040522636,-58.38086720292546,Línea B, combinación línea D y C,Estación Saludable Carlos Pellegrini
-34.62619892407293,-58.38076357172699,Lima y Av. Juan de Garay,Estación Saludable Constitución
-34.60456293984988,-58.40547222748421,Línea B, combinación línea H,Estación Saludable Corrientes
-34.60696711301962,-58.3751534494086,Av. Roque Sáenz Peña y Florida,Estación Saludable Diagonal Norte
-34.555358272023334,-58.435259910031384,Andrés Bello casi esquina Tornquist,Estación Saludable Lago de Palermo
-34.6456334977431,-58.47572839995693,Av. Lacarra y Av. Bilbao,Estación Saludable Parque Avellaneda
-34.60624208404755,-58.43798272593101,Antonio Machado y Patricias Argentinas,Estación Saludable Parque Centenario
-34.634688999309866,-58.44057069427475,Emilio Mitre y Av. Asamblea,Estación Saludable Parque Chacabuco
-34.66497215154626,-58.466641656587804,Av. Castañares y Av. Escalada,Estación Saludable Parque Indoamericano
-34.59177145772071,-58.44818726647556,Av. Dorrego y Av. Corrientes,Estación Saludable Parque Los Andes
-34.638055580656676,-58.40636407229855,Patagones y Monteagudo,Estación Saludable Parque Patricios
-34.617768533040326,-58.43442228010726,Av. Rivadavia y Doblas,Estación Saludable Parque Rivadavia
-34.55087620640208,-58.47951863687146,Av. García del Río y Av. Melián,Estación Saludable Parque Saavedra
-34.60866005150397,-58.3742257555271,Línea A, combinación línea E y D,Estación Saludable Perú
-34.628704140036895,-58.46306947871317,Av. Rivadavia y Fray Cayetano Rodriguez,Estación Saludable Plaza Flores
-34.65549620727825,-58.50673786104415,Av. Alberdi entre Pilar y Cafayate,Estación Saludable Plaza Juan Salaberry
-34.609764923120125,-58.40711465220289,Mitre y Av. Pueyrredón,Estación Saludable Plaza Miserere
-34.65196754841214,-58.4155733551331,Av. Sáenz y Traful,Estación Saludable Plaza Nueva Pompeya
-34.58352385467533,-58.3936538923401,Av. Del Libertador y Dr. Luis Agote,Estación Saludable Plaza Rubén Darío
-34.57786777613747,-58.42613322801319,Av. Santa Fe y Av. Bullrich,Estación Saludable Puente Pacífico
-34.59269898350988,-58.374201573459786,Av. Ramos Mejía y Av. Del Libertador,Estación Saludable Retiro
-34.57151732039001,-58.41293620036659,Iraola y Av. Sarmiento,Estación Saludable Rosedal
-34.603804295964075,-58.38683893581285,Av. Corrientes y Uruguay,Estación Saludable Tribunales
